question,optionA,optionB,optionC,optionD,solution
Which unit is named after Alessandro Volta?,Joule,Watt,Coulomb,Volt,4
At which university was Alessandro Volta professor of experimental physics?,Naples,Florence,Pavia,Mantua,3
When was Nikola Tesla born?,9 March 1964,4 April 1860,10 July 1856,3 October 1852,3
Where was Nikola Tesla born?,Smiljan,Belgrade,Skopje,Turin,1
When did Nikola Tesla invent the Tesla coil?,1872,1875,1867,1880,4
Where was the Titanic built?,Belfast,London,Dover,Southampton,1
Which firm built the Titanic?,Jones and Burton,Morgan and Son,Harland and Wolff,Drake Brothers,3
How many persons were aboard the Titanic?,1724,5200,3600,2224,4
When did the Titanic sink?,28 January 1911,15 April 1912,11 July 1914,22 November 1915,2
Which ship saved many people on the Titanic?,Olympic,Carpathia,Britannic,Lusitania,2
Which of the following two are connected by the Suez Cannal?, Yellow sea and Red sea, Black sea and Red sea, Mediterranean sea and Red sea, Persian Gulf and Red sea,3
The free fall acceleration g increases one proceeds at sea level from the equator toward either pole - The reason is:, Earth is a sphere with same density everywhere, Earth is a sphere with different density at the polar regions than in the equatorial regions, Earth is approximately an ellipsoid having its equatorial radius greater than its polar radius by 21 km, Earth is appsocimately an ellipsoid having its equatorial radius smaller than its polar radius by 50 km,3
Weather maps are published in India from:,Mumbai,Pune,Delhi,Dehradun,2
Which of the following statements is the reason for 'Seasons' on the surface of the Earth?,Rotation of the Earth, Revolution of the Earth around the Sun,The 23.5 degrees inclination of the Earth's rotation axix with respect to the plan of the ecliptic, Revolution of Earth in elliptical orbit around the Sun,3
How many hours of daylight does the equator experience on September equinox?,8 hrs,9 hrs,10 hrs,12 hrs,4
We observer twinkling of stars due to:,frequent and periodic fluctuation of temperature of the surface,constant change of refractive index of the medium between the stars and the Earth because of temperature variation,great distance of stars from the Earth,rise and fall of gaseous ball fire inside the stars,2
Which one among the following is called terrestrial planet?,Mercury,Jupiter,Saturn,Uranus,1
The colour of a star is an indication of its:,distance from the sun, luminosity, distance from the earth,temperature,4
The Sea Port which does not have a petroleum refinery?,Kandla,Mangalore,Chennai,Cochin,1
To which one of the following types of vegetation does rubber belong to?,Tundra,Hymalayan,Tidal,Tropical evergreen,4
A mountain or an upland that separates two drainage basins is called:,drainage pattern, water divide,drainage system,drainage basin,2
Element that is used to fabricate solar cells, Selenium,Silicon,Gallium,All of the above,4
Sial layer forms:,Continents,Ocean floors,Core of the earth,None of these,1
Lysosomes - which are known as suicidal bags - are produced by which organelle?,Mitochondria,Golgi body,Ribosome,Peroxisome,2
This epidemic helped forge the American two-party system. As death toll mounted - Federalists accused Democrats of a biological terror campaign:, Small Pox,Great Plague of Marseille,Yellow Fever,Plague of Justinian,3
A trade deal with China unleashed one of the deadliest of the great pandemics.Italy was hit especially hard:, Plague of justinian,Ganges River Cholera, Bubonic plague,COVID-19,3
A London doctor used a dot map to pioneer the modern science of epidemiology:,Third cholera pandemic,Great Plague of London,Typhus 'Irish Fever',Diphteria,1
Scientists blamed stressed-out bats and their habitat loss for this 21st century pandemic:,Covid-19,Ebola,SARS,All of the above,4
Doctors called this immigrant woman who worked as a cook the most dangerous woman in America - She was New York's patient zero passing the fever to 51 people - By year's end 20000 had died:,Mata Hari, Mary Mallon,Marie Curie,Bonnie Parker,2
It was alleged that missionaries treated this virus with strychnine:,Dengue fever,Measles,Malaria,Smallpox,2
Who is known as the father of epidemiology?,Hypocrates,John Snow, Girolamo Fracastoro,John Graunt,2
What class of computational algorithms can be used to estimate pi?, Binary search, Monte Carlo, Floyd Warshall, Breadth first search, 2
What kind of algorithm is useful for finding in item form a sorted list?, Monte Carlo, Kruskal's algorithm, Binary search, Flood Fill Algorithm, 3
